Prep,Frame,H,M,Phase,Combo,Bout,Time,Class,Type,Moves,AComp,DComp
,,,,,,,,,,,,
917,679,1,21,S,H1M21,8,5.769750835,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,679,1,22,S,H1M22,8,5.769750835,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,679,1,23,S,H1M23,8,5.769750835,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,685,7,8,S,H7M8,8,5.820794103,III,TR,NaN,P,TR
,,,,,,,,,,,,
917,699,7,2,S,H7M2,8,5.93989506,II,DL,NaN,P,D
,,,,,,,,,,,,
917,707,5,26,S,H5M26,8,6.00795275,I,VA,NaN,P,V
,,,,,,,,,,,,
917,707,5,26,S,H5M26,8,6.00795275,I,VA,NaN,P,V
,,,,,,,,,,,,
917,708,1,3,S,H1M3,8,6.016459961,II,DL,NaN,A,D
,,,,,,,,,,,,
917,720,6,13,S,H6M13,8,6.118546496,III,VL,NaN,P,V
,,,,,,,,,,,,
917,723,4,13,S,H4M13,8,6.14406813,III,VL,NaN,A,V
,,,,,,,,,,,,
917,735,3,1,S,H3M1,8,6.246154665,II,DL,NaN,A,D
,,,,,,,,,,,,
917,759,4,3,S,H4M3,9,6.450327735,II,DL,NaN,A,D
,,,,,,,,,,,,
917,759,1,8,S,H1M8,9,6.450327735,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,764,2,3,S,H2M3,9,6.492863791,II,DL,NaN,A,D
,,,,,,,,,,,,
917,764,2,28,S,H2M28,9,6.492863791,I,VO,NaN,A,V
,,,,,,,,,,,,
917,769,1,12,S,H1M12,9,6.535399848,III,VL,NaN,A,V
,,,,,,,,,,,,
917,769,3,21,S,H3M21,9,6.535399848,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,773,1,4,S,H1M4,9,6.569428693,NaN,DL,NaN,A,D
,,,,,,,,,,,,
917,773,2,26,S,H2M26,9,6.569428693,I,VA,NaN,A,V
,,,,,,,,,,,,
917,781,5,13,S,H5M13,9,6.637486383,III,VL,NaN,P,V
,,,,,,,,,,,,
917,782,5,2,S,H5M2,9,6.645993594,II,DL,NaN,P,D
,,,,,,,,,,,,
917,791,4,21,S,H4M21,9,6.722558495,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,791,5,22,S,H5M22,9,6.722558495,III,TR,NaN,P,TR
,,,,,,,,,,,,
917,792,4,2,S,H4M2,9,6.731065706,II,DL,NaN,A,D
,,,,,,,,,,,,
917,792,3,8,S,H3M8,9,6.731065706,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,792,4,8,S,H4M8,9,6.731065706,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,792,4,22,S,H4M22,9,6.731065706,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,792,4,23,S,H4M23,9,6.731065706,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,793,4,26,S,H4M26,9,6.739572918,I,VA,NaN,A,V
